key,som_key,lon,lat
B34A1022001,966,220366.0,462557.0
MAWA20023001,883,184683.7,420307.6
B33F1223001,1478,214571.0,468252.0
5006_PBF3003,308,109246.0,404098.0
PEVE121001,2526,191564.0,379776.0
B41B0492001,2303,236331.0,443241.0
B46B0747002,467,193515.0,413171.0
B16E1983001,634,200467.0,544977.0
2159_PBF2002,129,127745.0,411376.0
PEVE048001,2829,190830.0,380375.0
B52C2110001,2346,187736.0,380139.0
B16H1479001,125,213858.0,535867.0
B16H1483001,125,213908.0,535765.0
B16H1484001,6,214197.0,535514.0
B16H1491001,6,213071.0,535546.0
B26H0817001,2719,179386.0,475500.0
PEVE120_2001,2346,187603.0,380014.0
2193_PBF2001,1632,129812.0,391686.0
B52D2143002,2280,190835.0,376416.0
B40E1525001,2679,202631.0,448835.0
B40F2039001,1269,215686.024,437809.583
B41B0479001,2244,235055.0,440187.0
B28A0647001,1345,224252.0,489927.0
17CC512A001,62,225897.0,525419.0
B28F0135001,2423,250474.78,494537.56
B41D0035002,1380,230560.0,432690.0
B28F0160001,2295,252146.45,492038.91
B41B0165001,2296,237900.0,445120.0
B50F0102001,1091,137204.0,392269.0
B46B0031001,1888,195280.0,422480.0
B32A0386004,2696,146696.0,469253.0
B33F0185001,1599,215740.0,467150.0
B34C0099001,2795,229078.2419,456007.2957
B34B0370001,1155,233374.45,474325.63
B45E0311004,1126,166841.0,417388.0
B34C0319001,974,226275.45,459046.59
B34F3236001,2523,250500.0,463889.0
B34D0383002,1878,236616.3861,455477.888
B22C0134002,215,221127.23,509572.29
B34F0780001,2724,256558.79,474943.69
B12A0139001,562,223620.0,568630.0
B40H0158001,1454,215541.97,436987.13
B43H0256002,172,92886.0,404009.0
B27D0546001,52,199455.016,479806.154
B06D0468001,570,192621.0,580231.0
Primair_WRW_7001,1694,240540.0,536388.0
B16H1470001,126,211820.0,535083.0
5271_PBF001,1169,109382.0,390768.0
5372_PBF001,510,114250.0,403220.0
B41F0253001,2822,251181.0,442432.0
Stelkampsveld Borculoseweg 24-24A_570_FT1_WATHTE_m_NAP_GW_DagGem001,2007,229713.0,459789.0
Aaltense Goor pb12b_1452_FT1_WATHTE_m_NAP_GW_DagGem001,2057,234723.0,440398.0
Lochem Weggelhorst 1 (B1)_1122_FT1_WATHTE_m_NAP_GW_DagGem001,1592,219975.0,464434.0
B34C0938001,962,223009.0,459589.0
B34C0943001,2981,223444.0,459387.0
B34D1416001,1764,230006.0,459406.0
B34C1161001,1706,222939.0,459439.0
16DG703A001,507,197658.0,534316.0
B34C1159001,1025,223453.0,459540.0
B34C1173001,1519,222060.0,454549.0
B34C1189001,2067,228739.0,458749.0
Zoddebeek Bosmatenweg pb_357_FT1_WATHTE_m_NAP_GW_DagGem001,2884,255024.0,460624.0
B34C1174001,1886,221938.0,455032.0
B34C1158001,706,223525.0,459311.0
B34C1178001,1520,229948.0,459728.0
B34C1182001,1947,229643.0,460211.0
B34D1414001,1945,231028.0,459103.0
B34C1181001,2006,228902.0,460623.0
Stelkampsveld Enteldijk 2_846_FT1_WATHTE_m_NAP_GW_DagGem001,1887,228774.0,460283.0
B34C1187001,707,229194.0,461139.0
B34C1155001,962,223289.0,459927.0
JANS005001,707,195917.0,405250.0
JANS002001,648,195790.0,405458.0
B45F1048001,1897,177386.0,414491.0
B46D0982001,707,195694.0,405354.0
B32H0229002,2455,172234.93,453910.1
NPLV001001,2400,188964.0,383931.0
NPLV041001,2949,188723.0,384221.0
GROO033_2001,2288,187466.0,373926.0
JUHO001001,2769,190774.0,380378.0
NPLV003_2001,2344,189153.0,383120.0
BULT020001,2222,186558.0,390094.0
NPLV012_2001,2405,188162.0,380493.0
NPLV031001,2771,189159.0,378450.0
BULT018001,2223,186516.0,390023.0
NPLV035001,2590,189695.0,378310.0
B51D2657001,2995,154045.0,377058.0
BULT019001,2223,186568.0,390102.0
B52C2124001,2346,187737.0,380140.0
BULT013_2001,2951,186437.0,390055.0
NPLV036001,2711,190265.0,378203.0
NPLV033001,2589,189066.0,378835.0
NPLV002_2001,2343,189034.0,383561.0
NPLV006001,2470,187294.0,381545.0
NPLV025001,2592,188009.0,379111.0
NPLV027001,2950,188623.0,378957.0
NPLV034001,2529,188974.0,379096.0
BULT012_2001,2224,186508.0,390082.0
BULT011001,2222,187149.0,389798.0
NPLV047001,2590,189597.0,378414.0
NPLV059001,2711,190149.0,378126.0
PEVE079001,2407,190032.0,379758.0
B46A2192001,885,181560.48,422729.9
B23A0769001,1332,266686.0,524452.0
B39E0253002,881,167728.52,443934.41
B28E1179001,2000,247653.04,497953.71
B15E0163001,513,163420.0,542910.0
B51F1773001,2072,172749.0,394186.0
B40F0333001,1515,214613.06,438314.61
B27H0027001,2568,210586.42,477902.04
2126_PBF001,326,128038.0,411462.0
B51B0295001,2498,152864.0,394121.0
B51B0295002,2498,152864.0,394121.0
5220_PBF001,900,95979.0,382315.0
CORK013001,2532,187613.0,389260.0
B34B1242001,1151,233259.04,474908.47
B11B0156001,571,197550.0,563900.0
PEVE072001,2470,188628.0,379696.0
B45D0230001,817,157780.0,408630.0
B32D0217001,518,158784.0,462459.0
B45H0034003,2254,170070.0,400029.0
PEVE049001,2829,191133.0,380095.0
B43H0257001,521,98160.0,402471.0
B41B0472001,2243,235102.0,440913.0
B15E0210001,510,163100.0,546125.0
5010_PBF001,2690,110401.0,404625.0
B34D0080001,2055,238352.17,457862.28
2145_PBF001,388,128032.0,411457.0
B39E0245001,943,168272.48,443397.68
B45C0390001,4,140201.0,402097.0
PEVE049_2001,2769,191133.0,380095.0
B41B0280001,1500,235581.0,446201.0
B32D1371002,933,159832.0,450234.0
B51C0282002,2722,140153.0,377457.0
BULT002001,2849,186227.0,389660.0
B26F0092001,413,178425.2,492643.0
B26F0192002,293,178688.3,492293.5
BULT005001,2223,187028.0,390098.0
BULT004001,2465,187526.0,389898.0
B46A1646001,54,182120.0,421227.0
PEVE073001,2589,188948.0,378983.0
PEVE074001,2467,189474.0,379066.0
B57B0169001,2766,154153.0,367978.0
B41B0471001,2181,235294.0,440757.0
16DL851001 Gelderingen001,387,198063.0,533585.0
WAMB001001,814,153867.0,411400.0
B28H0229001,2974,255882.93,483958.78
B12E0398001,669,240660.0,562760.0
22CC011A001,698,220348.0,501877.0
B15E0238001,509,164589.0,546490.0
B46A0717001,2393,182110.0,422650.0
B32G0137001,203,162800.0,458290.0
PEVE071_2001,2966,190771.0,379035.0
PEVE074_2001,2407,189474.0,379066.0
SAVE003001,683,154716.0,411166.0
B40E1526002,2740,202633.0,448872.0
B21F0770001,129,211064.0,522686.0
5357_PBF2001,308,113322.0,396099.0
B40E1528001,794,202726.0,448579.0
B57E0113002,2994,163359.0,371320.0
B23A0771001,1332,266859.0,524438.0
B40E1524002,2618,202304.0,448626.0
B41B0480002,2520,239090.0,448224.0
B40E1524001,2680,202304.0,448626.0
B52A1488002,2351,186682.0,389915.0
B34C1149002,1022,229485.0,460122.0
B33E1302002,465,201348.0,473422.0
B22A1174001,503,228628.0,515857.0
B22A1176001,439,228814.0,515619.0
B34C1146001,1946,221571.0,454896.0
B40G1201002,2800,202702.0,448784.0
B41B0487001,2123,231225.0,449337.0
B32C0398001,273,145283.65,453631.26
B40E1527002,62,202836.0,448939.0
B41F0247001,2823,251030.0,442479.0
5370_PBF001,303,105345.0,393403.0
B34C1147002,2983,223138.0,459262.0
B22A1098001,555,226189.0,515779.0
B21F0732001,815,219430.0,518671.0
B22B0202001,979,237320.0,515120.0
B40E1525002,2679,202631.0,448835.0
B52C2104002,2282,189136.0,377108.0
B52C2104001,2281,189136.0,377107.0
B40G1187001,772,201613.0,435908.0
B34B1293001,1465,238406.33,473567.08
BIJE001001,455,144893.0,410681.0
B40G1182001,832,204886.0,435833.0
B16F0198001,720,216990.0,549397.0
B40G1169001,712,204155.0,433694.0
NPD-PB25001,908,225023.0,534145.0
B26H0811001,76,175725.0,486834.0
NPD-PB13001,726,219905.0,534629.0
B41A0096001,2063,228840.0,449710.0
PEVE073_2001,2890,188948.0,378983.0
B40G1176001,773,202098.0,436477.0
B45G0272002,360,168610.0,408540.0
B33H1512001,530,211906.0,454380.0
B40G1181001,650,204722.0,435031.0
B16H1500001,6,213936.0,535666.0
B39E0141001,184,164466.36,448271.95
B32E0306002,311,166611.0,472965.0
B28E1215001,2174,249592.46,497274.38
B39B0292002,2815,153691.45,449222.08
B28B0141005,2987,232527.04,497514.44
B34G0294001,1742,241500.0,456800.0
B28D0151001,981,238546.49,485086.78
B28B0141003,2987,232527.04,497514.44
B28B0141004,2987,232527.04,497514.44
B22C0134003,204,221127.23,509572.29
B57B0069002,2962,155887.0,364528.0
B41D0128003,1920,236607.015,436142.28
B44D0175002,248,112648.0,409619.0
B32A0386008,2696,146696.0,469253.0
B28F0084002,2780,252833.91,493407.7
B41A0076001,1501,228820.0,441220.0
B41B0061001,1567,234740.0,441030.0
B28F0135002,2423,250474.78,494537.56
Mol 3_1358_FT1_WATHTE_m_NAP_GW_DagGem001,2784,246586.0,441578.0
B49G0138002,540,80148.0,384405.0
B40F2040001,712,218736.0,439685.0
B41B0491001,2174,237638.0,444745.0
B51F0096001,2493,177750.0,393040.0
B39B0337001,2518,158722.42,446562.43
B16B0299001,634,196437.0,545128.0
B16E0223001,376,200960.0,548045.0
B57E0076002,2612,169685.0,374558.0
B34F3233001,2583,250365.0,464305.0
B39B0292001,2815,153691.45,449222.08
B39E0253004,881,167728.52,443934.41
B39E0253003,881,167728.52,443934.41
B44G0066001,817,122875.0,402194.0
B12C0119001,2921,224720.0,559030.0
B40B0342001,832,191347.9,440136.2
B32D1371003,933,159832.0,450234.0
B39E0253005,881,167728.52,443934.41
B28D0463001,1588,237823.3,481191.23
B22C0113002,337,223119.84,510262.73
B34F0781001,2883,258366.92,473754.41
B28H0455002,2840,258089.27,483741.29
B28B0141002,2987,232527.04,497514.44
B41D0033002,2183,231725.0,435550.0
B57B0069001,2962,155887.0,364528.0
B41D0034002,1500,231140.0,434390.0
