key,som_key,lon,lat
B28F0210001,2700,256072.94,494671.56
RAAI002_7001,1868,173445.0,398676.0
B50B0566001,855,116248.0,395165.0
B34A1022001,1157,220366.0,462557.0
B50H0372001,2567,136211.0,383913.0
MAWA20023001,1900,184683.7,420307.6
B45G0076002,580,162566.0,409112.0
B58E1541001,2440,200365.0,362585.0
B51D0119001,2687,154040.0,377049.0
16GL851901001,211,207618.0,529026.0
B50E0147001,1175,125504.0,393114.0
B57B0421001,1317,154979.0,365287.0
B51H0058001,2807,178287.0,384243.0
B40G1201001,1877,202702.0,448784.0
B46D1000001,828,194074.0,402308.0
B52C2101001,1314,188628.0,379695.0
B52D0010002,2501,198407.0,384112.0
B15E0121002,488,161250.0,548475.0
B50C0181001,1817,107302.0,386602.0
B49E0075001,278,83598.0,394784.0
B51G0896001,2329,161614.0,378590.0
B46A1774002,2425,183427.0,423522.0
B43H0318002,501,94027.0,400124.0
B49F0235001,1751,94516.0,390828.0
B33F1223001,2078,214571.0,468252.0
21HG010B001,102,210830.0,502630.0
B51F0277002,1987,177175.0,388851.0
5006_PBF3003,557,109246.0,404098.0
B51A1817001,1994,145551.0,388103.0
RAAI004_4001,1926,197237.0,397933.0
PEVE121001,1556,191564.0,379776.0
B50H0369001,1135,137660.0,375146.0
B41B0492001,179,236331.0,443241.0
B22C1356001,852,225967.0,506242.0
B58D0292001,2981,199817.0,353054.0
B58A0089001,960,180358.0,368999.0
BULT006001,1977,187147.0,389799.0
B49F0556001,204,94353.0,399903.0
RAAI004004,1926,197237.0,397933.0
B45C0545001,690,144906.0,410856.0
B46B0747002,180,193515.0,413171.0
B46D0364002,2258,191624.0,405046.0
B50B1286001,863,110090.0,391983.0
B17F1316001,2172,251290.0,542090.0
B52D2136001,2571,190619.0,379256.0
B52D2111002,1738,191291.0,384217.0
B58E0098001,2959,202963.0,371338.0
B57H0107001,2633,176186.0,357891.0
GROO003001,1675,185500.0,373980.0
B16E1983001,98,200467.0,544977.0
2159_PBF2002,624,127745.0,411376.0
B50B0546002,1693,117985.0,394120.0
DEUR033001,2571,190619.0,379256.0
B22A1169001,917,222911.0,516150.0
DYNA009001,48,155791.0,409164.0
B11B1722001,443,198162.0,564301.0
B60B0112001,419,190370.0,343160.0
B58A0801001,1675,185533.0,374077.0
B50B0207001,631,118494.0,398292.0
B49F0449001,1632,97716.0,397240.0
B51C0039001,2153,144153.0,383248.0
B49E0386002,567,80586.0,396468.0
2145001,152,128017.095,411452.976
PEVE048001,1315,190830.0,380375.0
2092_PBF1001,152,128306.0,411307.0
B17H1643001,1002,258151.0,526061.0
B58B0098001,1138,192107.0,369083.0
B52D1990001,1859,192556.0,381428.0
B52C0593002,1315,189995.0,375622.0
B52C0301002,1251,182606.0,383767.0
B52E0058001,1068,209802.0,394656.0
B52C2110001,1736,187736.0,380139.0
B49F0557001,204,94072.0,399943.0
2201_PBF001,152,128003.0,411419.0
22AC500A001,816,225225.0,524197.0
B52E0058002,1068,209802.0,394656.0
B16F0146001,1044,217235.0,548765.0
B46D0804002,2963,194423.0,400676.0
B51F0225002,236,176271.0,391301.0
B16H1479001,983,213858.0,535867.0
B16H1483001,983,213908.0,535765.0
B51D0546001,178,157933.0,379000.0
BBEE002001,1928,176891.0,389569.0
B52D2138001,1196,190501.0,378927.0
B58G0403001,360,204419.0,350229.0
5121001,330,105355.0,404308.0
B52C2102001,1737,189407.0,379069.0
B58A0092001,1136,186924.0,372026.0
B16H1484001,981,214197.0,535514.0
B50F1374001,1968,130615.0,389330.0
B58G0195001,419,201222.0,350449.0
B51C1778001,2271,144341.0,378144.0
B27B0388001,2474,197440.0,496370.0
2187001,1189,127192.0463,388705.199
B51G2453002,2088,163964.0,380877.0
B57B0491001,2272,155438.0,370521.0
5243001,281,113170.0,394254.0
B51F0304001,355,178394.0,388777.0
B50E0419001,2241,128931.0,396964.0
B16H1491001,981,213071.0,535546.0
B50C0184001,1817,107191.0,386746.0
B51A1813001,1868,146468.0,389697.0
B51C1766001,357,143832.0,380528.0
B58E0268001,418,203549.0,362811.0
B46A1778001,49,182595.0,421467.0
B33E1263001,781,207359.0,466193.0
B26H0817001,892,179386.0,475500.0
B52C2102002,1737,189407.0,379069.0
B28D1507001,171,238937.0,480512.0
PEVE074002,1737,189474.0,379066.0
B46D1003001,2086,192742.0,400655.0
B52C2103002,1374,188944.0,378980.0
RAAI004003,1926,197246.0,397910.0
RAAI004_3001,1926,197246.0,397910.0
PEVE073002,1374,188948.0,378983.0
B50B1287001,863,110089.0,391985.0
B57B0488001,2509,156113.0,370994.0
B57B0493001,716,155554.0,368752.0
B45G0040002,1900,162915.0,412330.0
B57B0494001,1139,155470.0,368817.0
B51A0147001,996,145071.0,393903.0
B51F0304002,355,178394.0,388777.0
B52D2142002,2631,190770.0,379034.0
PEVE120_2001,1736,187603.0,380014.0
2127001,728,125742.0,411256.0
B51F0143002,2026,175978.0,388414.0
B52C2103001,1374,188944.0,378980.0
B51F0247003,949,177290.0,390409.0
