key,som_key,lon,lat
B34A1022001,1902,220366.0,462557.0
MAWA20023001,813,184683.7,420307.6
B33F1223001,747,214571.0,468252.0
PEVE121001,1258,191564.0,379776.0
B41B0492001,52,236331.0,443241.0
B46B0747002,1021,193515.0,413171.0
B16E1983001,323,200467.0,544977.0
2159_PBF2002,1231,127745.0,411376.0
PEVE048001,119,190830.0,380375.0
B52C2110001,1499,187736.0,380139.0
B16H1479001,1770,213858.0,535867.0
B16H1483001,1770,213908.0,535765.0
BBEE002001,2275,176891.0,389569.0
B16H1484001,2109,214197.0,535514.0
B16H1491001,2109,213071.0,535546.0
B26H0817001,827,179386.0,475500.0
PEVE120_2001,1619,187603.0,380014.0
2193_PBF2001,247,129812.0,391686.0
B52D2143002,1555,190835.0,376416.0
B40F2039001,2231,215686.024,437809.583
B41B0479001,52,235055.0,440187.0
B28A0647001,156,224252.0,489927.0
17CC512A001,1702,225897.0,525419.0
B28F0135001,54,250474.78,494537.56
B41D0035002,2326,230560.0,432690.0
B28F0160001,294,252146.45,492038.91
B41B0165001,410,237900.0,445120.0
B50F0102001,1422,137204.0,392269.0
B28D0096001,2346,230535.52,476184.39
B28B0156001,1177,234721.89,491505.61
B46B0031001,339,195280.0,422480.0
B32A0386004,2890,146696.0,469253.0
B39B0330002,2824,159012.45,446946.28
B33F0185001,869,215740.0,467150.0
B34C0099001,2457,229078.2419,456007.2957
B45E0311004,2686,166841.0,417388.0
B34C0319001,1722,226275.45,459046.59
B45E0172001,2728,167937.0,418681.0
B32A0335002,2893,143487.0,466160.0
B28F1311002,354,250622.4,495676.75
B34C0097001,1541,228870.0,457410.0
B39B0283003,2536,157056.89,448645.46
B34F3236001,1554,250500.0,463889.0
B39B0332001,2771,158836.53,446768.65
B34D0383002,50,236616.3861,455477.888
B22C0134002,1098,221127.23,509572.29
B34F0780001,2938,256558.79,474943.69
B12A0139001,376,223620.0,568630.0
B40H0158001,699,215541.97,436987.13
B28B0151002,2705,235301.71,488949.91
B43H0256002,423,92886.0,404009.0
B12D0159001,370,231031.0,561303.0
B27D0546001,904,199455.016,479806.154
B39E0115001,2175,161984.79,449449.68
B16H1470001,1829,211820.0,535083.0
B17H1696001,2034,251719.0,537260.0
5372_PBF001,133,114250.0,403220.0
B41F0253001,1018,251181.0,442432.0
Stelkampsveld Borculoseweg 24-24A_570_FT1_WATHTE_m_NAP_GW_DagGem001,400,229713.0,459789.0
Aaltense Goor pb12b_1452_FT1_WATHTE_m_NAP_GW_DagGem001,349,234723.0,440398.0
Lochem Weggelhorst 1 (B1)_1122_FT1_WATHTE_m_NAP_GW_DagGem001,62,219975.0,464434.0
B34C0938001,2143,223009.0,459589.0
B34C0943001,2302,223444.0,459387.0
B34D1416001,579,230006.0,459406.0
B34C1161001,639,222939.0,459439.0
B34C1159001,1902,223453.0,459540.0
B34C1173001,162,222060.0,454549.0
B34C1189001,158,228739.0,458749.0
Zoddebeek Bosmatenweg pb_357_FT1_WATHTE_m_NAP_GW_DagGem001,897,255024.0,460624.0
B34C0323001,162,223095.0,454776.0
B34C1174001,279,221938.0,455032.0
B34C1158001,1080,223525.0,459311.0
B34C1178001,162,229948.0,459728.0
B34C1182001,279,229643.0,460211.0
B34D1414001,461,231028.0,459103.0
B34C1181001,278,228902.0,460623.0
Stelkampsveld Enteldijk 2_846_FT1_WATHTE_m_NAP_GW_DagGem001,279,228774.0,460283.0
B34C1187001,1080,229194.0,461139.0
B34C1155001,2143,223289.0,459927.0
JANS005001,1141,195917.0,405250.0
JANS002001,1201,195790.0,405458.0
B45F1048001,2630,177386.0,414491.0
B46D0982001,1080,195694.0,405354.0
B32H0229002,1303,172234.93,453910.1
NPLV001001,1193,188964.0,383931.0
NPLV041001,58,188723.0,384221.0
GROO033_2001,1319,187466.0,373926.0
BULT020001,1612,186558.0,390094.0
NPLV012_2001,1619,188162.0,380493.0
NPLV031001,119,189159.0,378450.0
BULT018001,1675,186516.0,390023.0
NPLV035001,299,189695.0,378310.0
B51D2657001,2528,154045.0,377058.0
NPLV032001,358,189143.0,378597.0
NPLV036001,359,190265.0,378203.0
NPLV033001,238,189066.0,378835.0
NPLV025001,419,188009.0,379111.0
NPLV027001,237,188623.0,378957.0
NPLV034001,238,188974.0,379096.0
BULT012_2001,1674,186508.0,390082.0
BULT011001,1674,187149.0,389798.0
NPLV047001,299,189597.0,378414.0
NPLV059001,419,190149.0,378126.0
B46A2192001,547,181560.48,422729.9
B23A0769001,1185,266686.0,524452.0
B23A0773001,1125,266055.0,524418.0
EA_RH_B04001,1304,263390.0,530057.0
B23A0770001,1065,266420.0,524458.0
B51F1773001,38,172749.0,394186.0
B40F0333001,371,214613.06,438314.61
B23A0772001,1065,266281.0,524465.0
B44H0041002,811,131723.0,401052.0
B34C1039001,879,225970.0,460848.0
B50E0379001,2232,124539.0,396092.0
